harm_personally,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Czech Republic,Egypt,France,Germany,India,Indonesia,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,Nigeria,Philippines,Poland,Russia,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,United Kingdom,United States,Vietnam
A great deal,38,19,56,18,58,55,4,17,31,25,45,19,19,23,29,28,59,7,31,47,27,8,24,37,33,46,36,47,15,19,60
A moderate amount,29,34,24,38,22,25,24,21,37,37,25,43,37,42,45,40,24,23,18,24,39,24,21,26,37,32,36,22,37,29,22
Only a little,13,22,8,22,8,9,34,19,15,20,11,11,23,16,17,13,8,48,18,12,18,29,20,12,10,11,14,6,27,19,10
Not at all,5,17,4,12,3,3,17,14,4,7,5,6,10,5,3,4,1,11,9,3,5,19,9,4,5,3,4,4,13,21,1
Don’t know,14,8,8,10,9,8,21,28,11,11,13,18,11,13,6,13,7,10,21,13,12,19,25,19,13,8,8,20,8,11,6
Refused,1,0,1,0,1,1,0,1,0,0,1,2,0,1,0,1,1,0,4,1,0,1,1,3,0,0,1,0,0,0,1
(Unweighted Base),2450,2668,2093,2888,2040,2464,2431,1394,2339,2375,4502,1377,1483,2554,2747,1125,2378,2495,1125,1126,2446,2568,952,1512,2319,1918,1442,1712,2587,13555,1263
