harm_future_gen,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Czech Republic,Egypt,France,Germany,India,Indonesia,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,Nigeria,Philippines,Poland,Russia,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,United Kingdom,United States,Vietnam
A great deal,68,61,74,64,77,80,33,34,73,68,57,32,68,63,66,48,80,37,40,63,62,25,38,54,74,76,62,66,66,54,79
A moderate amount,12,17,10,17,8,9,42,14,14,14,12,32,17,24,21,25,9,36,15,12,17,34,15,19,12,10,16,10,18,16,10
Only a little,4,7,3,7,4,3,10,11,3,5,7,8,4,4,4,6,2,14,9,5,5,13,15,7,2,2,5,3,7,9,2
Not at all,2,8,2,4,1,1,3,8,2,3,5,3,3,1,1,3,1,4,6,3,2,6,6,2,1,1,1,2,3,11,0
Don't know,9,6,5,7,6,4,10,27,6,8,9,19,6,6,5,15,5,7,22,10,8,17,20,13,7,8,11,14,5,10,6
Refused,4,1,5,1,5,4,2,6,2,1,10,6,2,2,3,3,4,1,7,7,5,4,6,6,3,3,4,4,1,1,3
(Unweighted Base),2450,2668,2093,2888,2040,2464,2431,1394,2339,2375,4502,1377,1483,2554,2747,1125,2378,2495,1125,1126,2446,2568,952,1512,2319,1918,1442,1712,2587,13555,1263
