paris_support_oppose,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Czech Republic,Egypt,France,Germany,India,Indonesia,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,Nigeria,Philippines,Poland,Russia,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,United Kingdom,United States,Vietnam
Strongly support,74,59,74,59,72,80,51,54,62,59,63,67,61,60,43,51,75,49,57,61,65,71,66,63,78,39,59,54,62,54,82
Somewhat support,20,25,16,27,22,16,37,30,31,31,24,22,30,35,53,38,20,34,23,28,26,19,23,22,17,53,34,30,30,20,13
Somewhat oppose,2,6,4,6,2,2,8,4,4,5,5,3,4,3,3,6,3,9,6,5,5,3,3,6,2,4,3,7,5,7,2
Strongly oppose,3,9,4,8,2,1,4,7,3,4,4,2,4,2,2,3,1,7,9,3,4,6,4,7,1,1,1,5,3,18,2
Refused,1,0,2,0,2,1,1,5,1,1,4,6,1,1,1,2,1,1,5,2,1,1,4,3,1,3,2,4,0,1,1
(Unweighted Base),2450,2668,2093,2888,2040,2464,2431,1394,2339,2375,4502,1377,1483,2554,2747,1125,2378,2495,1125,1126,2446,2568,952,1512,2319,1918,1442,1712,2587,13555,1263
