fossil_more_less,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Czech Republic,Egypt,France,Germany,India,Indonesia,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,Nigeria,Philippines,Poland,Russia,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,United Kingdom,United States,Vietnam
Much more,12,5,19,5,15,17,4,18,5,9,25,22,6,6,3,16,13,3,41,27,9,8,16,26,7,6,8,11,4,8,18
Somewhat more,9,6,8,7,11,11,6,18,6,9,14,15,5,6,6,14,11,5,13,20,7,8,16,10,6,12,17,13,6,9,10
Same amount as today,8,13,7,13,6,6,18,12,10,14,10,13,11,5,12,16,7,15,4,12,15,20,18,9,5,17,15,11,10,17,12
Somewhat less,20,22,18,25,17,17,37,13,21,21,18,14,21,21,39,22,24,25,9,15,21,21,11,13,24,43,29,22,25,21,21
Much less,38,49,36,44,36,40,28,16,49,39,18,12,52,52,33,14,35,46,14,14,40,28,10,28,52,13,16,27,50,38,27
Don’t know,9,4,9,4,9,5,5,17,7,8,10,18,4,7,5,14,6,5,12,9,5,11,23,8,5,7,11,11,4,5,8
Refused,4,1,4,1,5,4,1,5,2,1,7,7,1,2,1,4,4,1,7,4,3,3,6,5,2,3,4,3,1,1,4
(Unweighted Base),2450,2668,2093,2888,2040,2464,2431,1394,2339,2375,4502,1377,1483,2554,2747,1125,2378,2495,1125,1126,2446,2568,952,1512,2319,1918,1442,1712,2587,13555,1263
