gov_more_less,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Czech Republic,Egypt,France,Germany,India,Indonesia,Ireland,Italy,Japan,Malaysia,Mexico,Netherlands,Nigeria,Philippines,Poland,Russia,Saudi Arabia,South Africa,Spain,Taiwan,Thailand,Turkey,United Kingdom,United States,Vietnam
Much more,52,47,58,35,68,56,27,25,45,32,37,34,40,51,26,36,57,22,50,37,42,29,23,51,51,26,33,50,37,37,59
More,34,26,24,35,21,29,41,23,35,35,27,36,35,38,56,33,31,34,25,28,37,38,19,33,37,56,46,27,36,28,27
Currently doing the right amount,8,17,11,16,7,10,24,41,15,20,17,22,16,8,14,19,10,31,12,20,16,24,47,7,8,13,14,15,20,13,11
Less,2,4,3,6,1,2,3,6,3,6,12,3,4,2,2,7,1,7,5,8,3,3,5,3,2,2,4,3,4,10,2
Much less,3,6,3,7,1,1,5,4,3,5,5,3,3,1,1,3,1,7,4,3,2,4,4,3,1,1,2,3,2,12,0
Refused,1,0,2,0,2,1,0,2,0,1,2,3,1,1,0,2,2,0,5,3,1,1,2,3,0,1,0,2,0,0,2
(Unweighted Base),2450,2668,2093,2888,2040,2464,2431,1394,2339,2375,4502,1377,1483,2554,2747,1125,2378,2495,1125,1126,2446,2568,952,1512,2319,1918,1442,1712,2587,13555,1263
